date,MASSCA-0.MosaikAgent-ExternalGrid-0.production[MW],MASSCA-0.MosaikAgent-ExternalGrid-0.consumption[MW],MASSCA-0.MosaikAgent-steptime,GridSim-0.ExternalGrid-0-value,GridSim-0.Bus-0-value,GridSim-0.Bus-2-value,GridSim-0.Bus-4-value,GridSim-0.Bus-5-value,GridSim-0.Bus-1-value,GridSim-0.Bus-3-value,FlexSim-0.FLSim-0-P[MW],FlexSim-0.FLSim-1-P[MW],FlexSim-0.FLSim-6-P[MW],FlexSim-0.FLSim-5-P[MW],FlexSim-0.FLSim-2-P[MW],FlexSim-0.FLSim-3-P[MW],FlexSim-0.FLSim-4-P[MW],FlexSim-0.FLSim-7-P[MW]
2016-01-01 00:00:00,0,0,2.159878730773926,0.04500435717496256,-0.04500435717496256,4.218137014777376,4.153970068342071,-6.309102871737693,0.0,-2.0635239769717373,2.057215601018566,2.160921413758811,3.9082138067186802,1.0031739766814187,2.145112559722787,2.008857508619284,1.0603500002903188,2.4008890650190127
2016-01-01 00:00:01,0.04500435717496256,0,0.03132033348083496,0.04500435717496256,-0.04500435717496256,4.218137014777376,4.153970068342071,-6.309102871737693,0.0,-2.0635239769717373,2.057215601018566,2.160921413758811,1.901003655166484,1.7474321538933162,2.145112559722787,2.008857508619284,1.724833434158321,2.4008890650190127
2016-01-01 00:15:00,0.04500435717496256,0,2.0937352180480957,0.0467816158415795,-0.0467816158415795,3.753031847802021,4.417392726603666,-6.044848193957897,0.0,-2.122409100988598,1.7824333297881942,1.9705985180138268,4.30753035802414,1.0501376693813338,2.0101823299897714,2.4072103966138947,1.0722714316072648,1.7373178359337562
2016-01-01 00:15:01,0.0467816158415795,0,0.031291961669921875,0.0467816158415795,-0.0467816158415795,3.753031847802021,4.417392726603666,-6.044848193957897,0.0,-2.122409100988598,1.7824333297881942,1.9705985180138268,4.30753035802414,1.0501376693813338,2.0101823299897714,2.4072103966138947,1.0722714316072648,1.7373178359337562
2016-01-01 00:30:00,0.0467816158415795,0,2.0970802307128906,0.049261320132791754,-0.049261320132791754,3.507331283624581,4.40491978255009,-5.792283489047811,0.0,-2.112211731090135,1.8630649455649733,1.6442663380596076,3.9408567631954314,1.091040162114112,1.9468391592333911,2.4580806233166985,1.021171568976023,1.85142672585238
2016-01-01 00:30:01,0.049261320132791754,0,0.03125762939453125,0.049261320132791754,-0.049261320132791754,3.507331283624581,4.40491978255009,-5.792283489047811,0.0,-2.112211731090135,1.8630649455649733,1.6442663380596076,3.9408567631954314,1.091040162114112,1.9468391592333911,2.4580806233166985,1.021171568976023,1.85142672585238
2016-01-01 00:45:00,0.049261320132791754,0,2.144660234451294,0.04980713586375223,-0.04980713586375223,4.075053236918285,4.400767189410798,-6.336653121099545,0.0,-2.1355613858915348,2.016513944531206,2.0585392923870787,4.392847056002854,1.0738373362618443,2.004297286140331,2.396469903270467,1.0617240496296907,1.9438060650966908
2016-01-01 00:45:01,0.04980713586375223,0,0.03127717971801758,0.04980713586375223,-0.04980713586375223,4.075053236918285,4.400767189410798,-6.336653121099545,0.0,-2.1355613858915348,2.016513944531206,2.0585392923870787,4.392847056002854,1.0738373362618443,2.004297286140331,2.396469903270467,1.0617240496296907,1.9438060650966908
2016-01-01 01:00:00,0.04980713586375223,0,2.0903141498565674,0.04503198310598351,-0.04503198310598351,4.136015917124718,3.6160728543779737,-5.663305626937287,0.0,-2.0839189440959363,2.356228927890672,1.779786989234046,4.0966443036750935,1.0258314888368256,1.908693707504889,1.7073791468730848,1.0580874552591109,1.5666613232621938
2016-01-01 01:00:01,0.04503198310598351,0,0.03125262260437012,0.04503198310598351,-0.04503198310598351,4.136015917124718,3.6160728543779737,-5.663305626937287,0.0,-2.0839189440959363,2.356228927890672,1.779786989234046,4.0966443036750935,1.0258314888368256,1.908693707504889,1.7073791468730848,1.0580874552591109,1.5666613232621938
