date,MASSCA-0.MosaikAgent-ExternalGrid-0.production[MW],MASSCA-0.MosaikAgent-ExternalGrid-0.consumption[MW],GridSim-0.Bus-5-value,GridSim-0.Bus-3-value,GridSim-0.ExternalGrid-0-value,GridSim-0.Bus-4-value,GridSim-0.Bus-2-value,GridSim-0.Bus-1-value,GridSim-0.Bus-0-value,FlexSim-0.FLSim-6-P[MW],FlexSim-0.FLSim-0-P[MW],FlexSim-0.FLSim-3-P[MW],FlexSim-0.FLSim-2-P[MW],FlexSim-0.FLSim-1-P[MW],FlexSim-0.FLSim-7-P[MW],FlexSim-0.FLSim-4-P[MW],FlexSim-0.FLSim-5-P[MW]
2016-01-01 00:00:00,0,0,-3.9729965429092804,-2.043753229324152,2.3910710616938027,4.153970068342071,4.218137014777376,0.0,-2.3910710616938027,2.767701405049884,2.057215601018566,2.008857508619284,2.145112559722787,2.160921413758811,1.2052951378593963,2.3893168680329366,-0.3455636387087848
2016-01-01 00:00:01,2.3910710616938027,0,-3.9729965429092804,-2.043753229324152,2.3910710616938027,4.153970068342071,4.218137014777376,0.0,-2.3910710616938027,3.634399154933284,2.057215601018566,2.008857508619284,2.145112559722787,2.160921413758811,0.009701210699780027,3.053800301907552,-1.0898218159302804
2016-01-01 00:15:00,2.3910710616938027,0,-3.476417631508013,-3.147774654408491,1.5819316679846203,4.417392726603666,3.753031847802021,0.0,-1.5819316679846203,3.678272958279149,1.7824333297881942,2.4072103966138947,2.0101823299897714,1.9705985180138268,-0.20185532677113605,3.440333980772004,-0.2925593263635129
2016-01-01 00:15:01,1.5819316679846203,0,-3.476417631508013,-3.147774654408491,1.5819316679846203,4.417392726603666,3.753031847802021,0.0,-1.5819316679846203,3.678272958279149,1.7824333297881942,2.4072103966138947,2.0101823299897714,1.9705985180138268,-0.20185532677113605,3.440333980772004,-0.2925593263635129
2016-01-01 00:30:00,1.5819316679846203,0,-2.3579118475524545,-2.3030796460053153,3.282049363203549,4.40491978255009,3.507331283624581,0.0,-3.282049363203549,2.011729406193785,1.8630649455649733,2.4580806233166985,1.9468391592333911,1.6442663380596076,0.3461824413586694,2.2456919229496517,0.05738772305566364
2016-01-01 00:30:01,3.282049363203549,0,-2.3579118475524545,-2.3030796460053153,3.282049363203549,4.40491978255009,3.507331283624581,0.0,-3.282049363203549,2.011729406193785,1.8630649455649733,2.4580806233166985,1.9468391592333911,1.6442663380596076,0.3461824413586694,2.2456919229496517,0.05738772305566364
2016-01-01 00:45:00,3.282049363203549,0,-2.7816377851415504,-2.5641874293886464,3.1640421979644953,4.400767189410798,4.075053236918285,0.0,-3.1640421979644953,2.769296916117102,2.016513944531206,2.396469903270467,2.004297286140331,2.0585392923870787,0.01234086902444842,2.512838870568554,0.05134855882009237
2016-01-01 00:45:01,3.1640421979644953,0,-2.7816377851415504,-2.5641874293886464,3.1640421979644953,4.400767189410798,4.075053236918285,0.0,-3.1640421979644953,2.769296916117102,2.016513944531206,2.396469903270467,2.004297286140331,2.0585392923870787,0.01234086902444842,2.512838870568554,0.05134855882009237
2016-01-01 01:00:00,3.1640421979644953,0,-2.676738635006603,-1.6994602332397397,3.4057409811370576,3.6160728543779737,4.136015917124718,0.0,-3.4057409811370576,3.005269854213828,2.356228927890672,1.7073791468730848,1.908693707504889,1.779786989234046,-0.3285312192072247,2.1963753039343183,-0.4969150706945784
2016-01-01 01:00:01,3.4057409811370576,0,-2.676738635006603,-1.6994602332397397,3.4057409811370576,3.6160728543779737,4.136015917124718,0.0,-3.4057409811370576,3.005269854213828,2.356228927890672,1.7073791468730848,1.908693707504889,1.779786989234046,-0.3285312192072247,2.1963753039343183,-0.4969150706945784
